Precursor Mz,Average Measured Retention Time
901.453984,72.18
896.983243,72.18
671.663052,72.18
671.890095,72.18
868.445264,72.18
936.12626,72.19
684.36998,72.19
823.074003,72.19
425.595468,72.19
573.339509,72.19
709.033033,72.19
552.6612,72.19
880.113069,72.19
435.939569,72.19
662.848427,72.19
992.014414,72.19
807.40324,72.19
559.29309,72.19
887.472708,72.19
995.169583,72.19
639.382437,72.19
649.991497,72.19
612.869162,72.19
745.368081,72.2
856.98766,72.2
906.155379,72.2
789.732411,72.2
745.365617,72.2
796.065507,72.2
750.406837,72.2
536.812801,72.2
796.450713,72.2
596.312236,72.2
795.887946,72.2
564.852981,72.2
832.414436,72.2
654.852655,72.2
770.085409,72.2
928.993277,72.21
471.815336,72.21
471.305135,72.21
688.717374,72.21
782.914495,72.21
841.477794,72.21
717.738837,72.21
689.873587,72.21
891.945804,72.21
845.438334,72.21
644.861003,72.22
736.69552,72.22
859.464549,72.22
490.26601,72.22
673.874976,72.22
736.885206,72.22
762.384289,72.22
494.66036,72.22
702.354329,72.22
802.413124,72.22
938.831007,72.22
524.311619,72.22
937.008601,72.22
548.811116,72.23
573.294245,72.23
574.357899,72.23
577.665956,72.23
843.05349,72.23
803.910898,72.23
987.509299,72.23
645.334146,72.23
959.517647,72.23
891.416094,72.23
584.657901,72.23
775.451048,72.23
620.991608,72.23
584.85245,72.23
861.994765,72.23
775.395218,72.23
791.909213,72.23
952.998567,72.23
557.306868,72.23
794.897988,72.23
457.790806,72.23
446.271095,72.23
610.65484,72.23
834.446828,72.23
537.831517,72.24
751.375106,72.24
749.382831,72.24
611.897723,72.24
566.305863,72.24
460.763634,72.24
656.34002,72.24
808.412684,72.24
499.758352,72.24
700.366126,72.24
499.956058,72.24
932.78227,72.24
845.959768,72.25
838.428932,72.25
477.294123,72.25
1001.045518,72.25
670.677467,72.25
691.695186,72.25
527.308209,72.25
755.893031,72.25
801.032972,72.26
605.331024,72.26
705.374809,72.26
967.83464,72.26
525.27999,72.26
581.295646,72.26
941.995159,72.26
712.0294,72.26
729.392106,72.26
632.32347,72.26
975.968619,72.26
941.100394,72.26
573.341195,72.26
530.954383,72.26
576.663664,72.26
984.160859,72.26
662.670423,72.26
762.704744,72.26
523.83406,72.26
887.480011,72.27
622.674168,72.27
757.761754,72.27
678.392667,72.27
500.615813,72.27
744.924666,72.27
992.798143,72.27
633.986918,72.27
789.688148,72.27
881.083227,72.27
665.890095,72.27
954.476276,72.27
957.490539,72.27
597.659747,72.27
446.766177,72.27
629.334955,72.27
815.916515,72.27
921.97255,72.28
781.047565,72.28
917.483273,72.28
721.896105,72.28
814.400501,72.28
981.512562,72.28
694.021528,72.28
727.385518,72.28
784.45633,72.28
549.303124,72.28
603.324922,72.28
502.256963,72.28
588.664498,72.28
615.703399,72.29
479.283149,72.29
908.449233,72.29
483.628948,72.29
916.414671,72.29
682.690719,72.29
492.313406,72.29
868.464883,72.29
605.336641,72.29
511.271292,72.29
703.693674,72.29
801.373784,72.29
521.265904,72.29
711.698096,72.3
715.685968,72.3
971.46508,72.3
982.985323,72.3
863.097753,72.3
419.240807,72.3
756.879401,72.3
578.812802,72.3
632.645772,72.3
862.416682,72.3
764.424499,72.3
665.01078,72.3
994.473437,72.3
997.985657,72.31
833.929091,72.31
597.65779,72.31
878.480002,72.31
809.922132,72.31
508.30207,72.31
808.388717,72.31
601.36117,72.31
801.442888,72.31
792.92434,72.32
808.443085,72.32
467.791664,72.32
837.413805,72.32
688.382634,72.32
614.959034,72.32
855.911429,72.32
671.846515,72.32
737.066954,72.32
898.423316,72.32
503.800217,72.33
828.755728,72.33
512.315503,72.33
515.97987,72.33
516.26093,72.33
705.850309,72.33
923.979647,72.33
730.04633,72.33
635.991057,72.33
524.306298,72.33
601.316231,72.33
715.903733,72.33
580.979541,72.33
843.405089,72.33
801.355058,72.33
573.630912,72.33
759.415816,72.33
577.309115,72.33
649.340743,72.34
554.787415,72.34
887.785064,72.34
803.93797,72.34
559.773539,72.34
789.367181,72.34
607.64388,72.34
633.858263,72.34
616.831388,72.34
875.760879,72.34
995.505071,72.34
834.41112,72.34
816.044839,72.34
957.961985,72.34
537.641917,72.34
961.474788,72.34
596.982162,72.34
569.306205,72.35
840.427967,72.35
839.099384,72.35
840.925591,72.35
721.391661,72.35
721.012521,72.35
871.788808,72.35
822.435595,72.35
457.251848,72.35
929.472708,72.35
990.025836,72.35
572.321066,72.36
670.02258,72.36
644.350802,72.36
859.091834,72.36
682.696638,72.36
615.859949,72.36
865.776068,72.36
818.753258,72.36
911.157732,72.36
885.001436,72.36
773.080206,72.36
902.45217,72.36
630.807716,72.36
631.675626,72.36
534.933714,72.37
635.381905,72.37
514.62442,72.37
685.708878,72.37
711.682006,72.37
663.00442,72.37
598.810259,72.37
627.823563,72.37
854.912918,72.37
640.998652,72.37
966.949075,72.37
862.890497,72.37
966.95076,72.37
550.265684,72.37
677.041863,72.37
803.374007,72.37
943.820337,72.37
607.871371,72.37
825.725151,72.37
803.885838,72.37
668.989822,72.37
947.48889,72.37
517.287474,72.37
518.290116,72.37
651.348063,72.37
597.829506,72.38
889.484003,72.38
629.845156,72.38
900.101386,72.38
899.77668,72.38
536.829309,72.38
956.921145,72.38
685.362855,72.38
768.906473,72.38
545.310167,72.38
545.300581,72.38
569.632253,72.38
841.386141,72.38
883.420962,72.38
693.353995,72.38
660.855917,72.38
743.377968,72.39
675.326217,72.39
676.002351,72.39
772.076512,72.39
830.110888,72.39
851.092957,72.39
771.917372,72.39
570.982385,72.39
690.680994,72.39
849.469634,72.39
643.334098,72.39
694.655457,72.39
513.955836,72.39
672.405912,72.39
675.360313,72.4
852.953097,72.4
730.885206,72.4
773.41889,72.4
739.413411,72.4
685.344663,72.4
636.656114,72.4
951.819891,72.4
640.349239,72.4
719.372266,72.4
580.99429,72.4
494.299714,72.4
757.858469,72.4
758.898982,72.41
552.643369,72.41
650.86662,72.41
894.788919,72.41
895.775339,72.41
803.411226,72.41
833.450238,72.41
980.512039,72.41
557.31721,72.41
583.303655,72.41
584.36075,72.41
597.31721,72.41
764.689383,72.41
805.456664,72.42
806.475054,72.42
610.973338,72.42
877.435792,72.42
769.701111,72.42
596.352814,72.42
770.397427,72.42
541.634873,72.42
689.368744,72.42
840.998362,72.42
841.119829,72.42
883.993611,72.42
871.508563,72.42
805.421964,72.42
872.112235,72.42
658.366675,72.42
602.669807,72.42
707.871576,72.42
602.837862,72.42
837.962311,72.43
670.340632,72.43
852.125643,72.43
461.267245,72.43
798.07037,72.43
674.374612,72.43
733.069358,72.43
742.418693,72.43
683.691887,72.43
774.376583,72.43
774.42503,72.43
631.668137,72.43
634.819138,72.44
606.99385,72.44
519.818941,72.44
649.023586,72.44
648.335152,72.44
824.932688,72.44
786.738509,72.44
516.971374,72.44
573.829506,72.45
556.802957,72.45
427.588647,72.45
678.353206,72.45
566.313166,72.45
769.050186,72.45
813.108824,72.46
808.392389,72.46
771.727549,72.46
706.717379,72.46
706.717379,72.46
707.879204,72.46
686.688544,72.46
977.508768,72.46
989.115216,72.47
798.906473,72.47
